# Species Clustering Database for APOGEE V05
# Format: ClusterNum<TAB>SpeciesA<TAB>SpeciesB<TAB>ClusterName<TAB>Genus
# Total clusters: 489

54	Phytophthora nicotianae	Phytophthora tabaci	Phytophthora nicotianae cluster	Phytophthora
54	Phytophthora nicotianae	Phytophthora x pelgrandis	Phytophthora nicotianae cluster	Phytophthora
54	Phytophthora tabaci	Phytophthora x pelgrandis	Phytophthora nicotianae cluster	Phytophthora
55	Phytophthora panamensis	Phytophthora quercetorum	Phytophthora panamensis cluster	Phytophthora
56	Phytophthora polonica	Phytophthora pseudopolonica	Phytophthora polonica cluster	Phytophthora
57	Phytophthora porri	Phytophthora primulae	Phytophthora porri cluster	Phytophthora
58	Phytophthora rhizophorae	Phytophthora virginiana	Phytophthora rhizophorae cluster	Phytophthora
59	Phytopythium boreale	Phytopythium megacarpum	Phytopythium boreale cluster	Phytopythium
60	Pythium acrogynum	Pythium hypogynum	Pythium acrogynum cluster	Pythium
61	Pythium afertile	Pythium kashmirense	Pythium afertile cluster	Pythium
62	Pythium aff. diclinum	Pythium aff. dictyosporum	Pythium aff. diclinum cluster	Pythium
62	Pythium aff. diclinum	Pythium coloratum	Pythium aff. diclinum cluster	Pythium
62	Pythium aff. diclinum	Pythium diclinum	Pythium aff. diclinum cluster	Pythium
62	Pythium aff. diclinum	Pythium dissotocum	Pythium aff. diclinum cluster	Pythium
62	Pythium aff. diclinum	Pythium lutarium	Pythium aff. diclinum cluster	Pythium
62	Pythium aff. dictyosporum	Pythium coloratum	Pythium aff. diclinum cluster	Pythium
62	Pythium aff. dictyosporum	Pythium diclinum	Pythium aff. diclinum cluster	Pythium
62	Pythium aff. dictyosporum	Pythium dissotocum	Pythium aff. diclinum cluster	Pythium
62	Pythium aff. dictyosporum	Pythium lutarium	Pythium aff. diclinum cluster	Pythium
62	Pythium coloratum	Pythium diclinum	Pythium aff. diclinum cluster	Pythium
62	Pythium coloratum	Pythium dissotocum	Pythium aff. diclinum cluster	Pythium
